ssrf-agent,<1.0.5
@factor/plugin-forum,>=1.3.3
@factor/cli,>=1.1.0 <3.0.1
@theia/plugin-ext,<1.18.0
terminal-kit,<2.1.8
@openzeppelin/contracts-upgradeable,>=4.2.0 <4.3.3
@openzeppelin/contracts,>=4.2.0 <4.3.3
@factor/plugin-forum,>=1.3.8
@factor/plugin-forum,>=1.3.5
@openzeppelin/contracts-upgradeable,>=4.1.0 <4.3.2
@openzeppelin/contracts,>=4.1.0 <4.3.2
json-schema,<0.4.0
@xvideos/alerts,*
@pornhub/alerts,*
@cyyynthia/tokenize,<1.1.3
natural,<5.1.11
uswds,<2.12.2
uglify-js,<3.14.3
starkbank-ecdsa,<1.1.3
graphql-playground-react,<1.7.28
apollo-server,<2.25.3
apostrophe,>=2.63.0 <3.4.0
gethue,<4.10.1
apostrophe,>=2.63.0 <3.4.0
nodebb,*
@sap-cloud-sdk/core,<1.52.0
graphiql,>=0.5.0 <1.4.7
electron,>=14.0.0 <14.2.0
electron,>=14.0.0 <14.2.0
obsidian-dataview,*
rc,>1.2.8
coa,>2.0.2
@grafana/data,<8.2.3
nbdime-jupyterlab,<1.0.1
nbdime,<5.0.2
electron,>=14.0.0 <14.1.1
electron,>=14.0.0 <14.1.1
electron,>=14.0.0 <14.1.1
electron,>=14.0.0 <14.1.1
tinymce,<5.10.0
tempura,<0.4.0
jsonpointer,<5.0.0
json-ptr,<3.0.0
json-pointer,*
dotty,<0.1.2
bootstrap-table,<1.19.1
@brikcss/merge,*
electron,<12.2.2
docker-cli-js,*
aaptjs,*
portainer,*
froala-editor,*
ramda,*
noblox.js-proxy,*
noblox.js-proxies,*
jquery-ui,<1.13.0
jquery-ui,<1.13.0
jquery-ui,<1.13.0
tinymce,<5.9.0
conventional-commits-parser,<3.2.3
pekeupload,*
ua-parser-js,>=1.0.0 <1.0.1
shell-quote,<1.7.3
modern-async,<1.0.4
klow,*
okhsa,*
klown,*
kindeditor,*
xss,<1.0.10
otp-generator,<3.0.0
git,*
x-assign,*
@backstage/plugin-scaffolder-backend,>=0.9.4 <0.15.9
kindeditor,*
vm2,<3.9.4
uppy,<1.26.1
class-validator,*
fastify-static,>=4.2.4 <4.4.1
electron,>=10.1.0 <11.5.0
@redocly/openapi-cli,<1.0.0-beta.59
llhttp,*
llhttp,*
keypair,<1.0.4
prompts,<2.4.2
config-handler,*
teddy,<0.5.9
fastify-static,<4.2.4
parse-server,<4.10.4
electron,>=13.0.0 <13.5.1
electron,>=14.0.0 <14.1.0
hermes-engine,<0.8.0
kindeditor,*
kindeditor,*
handsontable,<10.0.0
electron,>=13.0.0 <13.5.0
electron,>=13.0.0 <13.5.0
electron,>=13.0.0 <13.5.0
electron,>=13.0.0 <13.5.0
electron,>=13.0.0 <13.5.0
electron,>=13.0.0 <13.5.0
electron,>=13.0.0 <13.5.0
jsoneditor,<9.5.6
i,<0.3.7
datatables.net,<1.11.3
ghost,>=4.0.0 <4.15.1
@asyncapi/modelina,*
ssh2,<1.0.0
ghost,<4.15.0
bento4,*
jointjs,<3.4.2
edge.js,<5.3.2
zrender,<5.2.1
materialize-css,*
ethers,>=5.2.0 <5.4.7
code-server,<3.12.0
nth-check,<2.0.1
matrix-js-sdk,<12.4.1
stylelint,<14.0.0
semver-regex,<3.1.3
@openzeppelin/contracts-upgradeable,>=4.1.0 <4.3.2
@openzeppelin/contracts,>=4.1.0 <4.3.2
taro,*
@cookiex/deep,*
object-path,>=0.11.0 <0.11.8
@vuelidate/validators,<2.0.0-alpha.22
tmpl,<1.0.5
prismjs,<1.25.0
code-oss-dev,*
accessibility-insights-web,*
matrix-js-sdk,<12.4.1
semver-regex,>=4.0.0 <4.0.1
colors-cli,<1.0.28
ansi-regex,>=6.0.0 <6.0.1
body-parser-xml,<2.0.3
set-value,>=3.0.0 <4.0.1
@viking04/merge,<1.0.2
parse-server,>=4.6.0 <4.10.0
remark-html,>=14.0.0 <14.0.1
rebber,<5.2.1
gun,<0.2019.416
objection,<3.0.0-alpha.5
file-upload-with-preview,<4.2.0
@theia/mini-browser,>=0.3.9 <1.9.0
parse-server,<4.10.3
atlasboard,<1.1.9
mpath,<0.8.4
detect-character-encoding,<0.3.1
axios,<0.21.3
immer,<9.0.6
tar,>=6.0.0 <6.1.7
tar,>=6.0.0 <6.1.9
tar,>=6.0.0 <6.1.9
@npmcli/arborist,<2.8.2
@npmcli/arborist,<2.8.2
next,>=10.0.0 <11.1.1
passport-saml,<3.1.0
object-path,<0.11.6
@openzeppelin/contracts,>=4.0.0-beta.0 <4.3.1
@openzeppelin/contracts-upgradeable,>=4.0.0-beta.0 <4.3.1
detect-character-encoding,<0.7.0
ced,<1.0.0
startserver,*
joplin,<2.3.2
transpile,*
pac-resolver,<5.0.0
mootools,*
parse-server,<4.5.1
proto,*
@diez/generation,*
string-kit,<0.12.8
ioredis,<4.27.8
ansi-html,*
trim-off-newlines,<1.0.3
hbs,*
ckeditor4,<4.16.2
ckeditor4,<4.16.2
ckeditor4,<4.16.2
@github/paste-markdown,<0.3.4
express-cart,<1.1.11
next,<11.1.0
@asyncapi/java-spring-cloud-stream-template,<0.7.0
merge-change,*
serverless-offline,*
@liquity/contracts,*
@npmcli/git,<2.0.8
terriajs-server,<2.7.4
tar,>=6.0.0 <6.1.4
open-graph,<0.2.6
think-config,<1.1.3
electron,>=13.0.0 <13.1.8
electron,>=12.0.0 <12.0.16
electron,>=12.0.0 <12.0.16
electron,>=13.0.0 <13.1.8
electron,>=12.0.0 <12.0.16
electron,>=12.0.0 <12.0.16
electron,>=13.0.0 <13.1.8
electron,>=12.0.0 <12.0.16
tar,<3.2.2
tar,<3.2.3
joplin,<2.1.1
grapesjs,<0.17.22
isomorphic-git,<1.8.2
acookie,*
vscode-npm-script,*
firebase-extensions,*
xmldom,*
curly-bracket-parser,*
deepmergefn,*
url-parse,<1.5.2
video.js,<7.14.3
jszip,<3.7.0
gitlogplus,*
ghost,>=4.0.0 <4.10.0
anchorme,*
glob-parent,>=6.0.0 <6.0.1
froala-editor,<3.2.7
tui-editor,*
@toast-ui/editor,<3.0.2
hey-sven,*
nightscout,*
gatsby-source-wordpress,<4.0.8
urijs,<1.19.7
urijs,<1.19.7
umeditor,*
xo-server,*
xo-web,*
wp-calypso,*
putil-merge,<3.7.0
just-safe-set,>=1.0.0 <2.2.2
electron,>=12.0.0-beta.1 <12.0.14
electron,>=12.0.0 <12.0.14
total4,<0.0.43
total.js,<3.4.9
d3-color,*
stellar-sdk,<8.2.3
jsoneditor,<2.2.2
record-like-deep-assign,*
ts-nodash,<1.2.7
electron,>=12.0.0 <12.0.13
think-helper,<1.1.3
electron,>=12.0.0-beta.1 <12.0.12
electron,>=12.0.0-beta.1 <12.0.13
electron,>=12.0.0-beta.1 <12.0.12
@toast-ui/editor,<3.0.2
electron,>=12.0.0 <12.0.13
prismjs,<1.24.0
electron,>=12.0.0 <12.0.13
noble,*
mermaid,<8.11.0
nodemailer,<6.6.1
wincred,*
@auth0/nextjs-auth0,<1.4.1
is-email,<1.0.1
@backstage/techdocs-common,<0.6.5
aurelia-path,<1.1.7
find-process,<1.4.5
react-bootstrap-table,*
mongo-express,<1.0.0-alpha.4
striptags,<3.2.0
@apollo/client,<3.4.0-rc.2
@ianwalter/merge,*
xlsx,<0.17.0
xlsx,<0.17.0
lutils,*
xlsx,<0.17.0
@apollosproject/data-connector-rock,<2.20.0
matrix-appservice-bridge,<2.6.1
valine,*
hermes-engine,<0.7.0
tenvoy,<7.0.3
@scandipwa/magento-scripts,>=1.5.1 <1.5.3
nedb,*
total.js,<3.3.0-13
ckeditor4,>=4.14.0 <4.16.1
expand-hash,*
set-getter,*
reg-keygen-git-hash-plugin,<0.10.16
apexcharts,<3.27.0
nestie,<1.0.2
calipso,*
polished,<3.7.2
auth0-lock,<11.30.1
locutus,<2.0.15
nestie,<1.0.1
@backstage/techdocs-common,<0.6.3
@backstage/plugin-techdocs,<0.9.5
@backstage/techdocs-common,<0.6.4
electron,>=12.0.0-beta.1 <12.0.10
electron,>=12.0.0-beta.1 <12.0.10
electron,>=12.0.0-beta.1 <12.0.10
electron,>=12.0.0-beta.1 <12.0.10
electron,>=12.0.0-beta.1 <12.0.10
electron,>=12.0.0-beta.1 <12.0.10
electron,>=12.0.0-beta.1 <12.0.10
@aws-crypto/decrypt-node,>=2.0.0 <2.2.0
@aws-crypto/decrypt-browser,>=2.0.0 <2.2.0
react-native,>=0.63.0-rc.0 <0.64.1
layui-src,<2.6.8
layui,<2.6.8
forms,<1.2.1
trim-newlines,<3.0.1
tinymce,<5.7.1
css-what,<5.0.1
@floffah/build,<1.0.0
node-static,*
node-static,*
json-ptr,<2.1.0
js-extend,*
nconf-toml,*
ws,>=7.0.0 <7.4.6
@keystonejs/keystone,*
@ronomon/opened,<1.5.2
normalize-url,>=6.0.0 <6.0.1
dns-packet,<1.3.4
matrix-react-sdk,<3.21.0
vmd,*
@shopify/koa-shopify-auth,>=3.1.61 <3.1.63
express-hbs,*
haml-coffee,*
squirrelly,*
koa-remove-trailing-slashes,<2.0.2
trailing-slash,<2.0.1
aurelia-templating-resources,*
fastify-csrf,<3.1.0
101,*
deep-override,<1.0.2
vconsole,<3.5.2
strapi,*
fastify-multipart,<1.0.5
git-parse,<1.0.5
backbone-query-parameters,*
frappe-charts,*
highcharts,<9.0.0
is-svg,>=2.1.0 <4.3.0
exiftool-vendored.exe,<12.25.0
exiftool-vendored.pl,<12.25.0
handlebars,<4.7.7
path-parse,<1.0.7
ngx-markdown-editor,<3.3.3
mixme,<0.5.2
@rkesters/gnuplot,<0.1.0
cumulative-distribution-function,<2.0.0
electron,<10.4.4
electron,<10.4.4
electron,<10.4.4
electron,<10.4.4
ghost,>=4.0.0 <4.3.3
cypress,<7.2.0
confidence,>=4.0.0 <5.0.1
electron,<10.4.4
domify,<1.4.1
electron,<10.4.4
electron,>=11.0.0 <11.4.4
electron,>=11.0.0 <11.4.4
electron,>=11.0.0 <11.4.4
electron,>=11.0.0 <11.4.4
browserslist,>=4.0.0 <4.16.5
safe-flat,>=2.0.0 <2.0.2
safe-obj,*
vconsole,<3.4.1
react-draft-wysiwyg,<1.14.6
oauth2-server,*
validator,<13.6.0
validator,<13.7.0
validator,<13.6.0
dustjs-linkedin,<3.0.0
validator,<13.6.0
purl,*
redis,>=2.6.0 <3.1.1
xmlhttprequest-ssl,<1.6.1
